match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
247102277803306,TEAM-51EA86E0,HOME,44,2,7,2,0
247102277803306,TEAM-A415D192,AWAY,56,31,5,50,0
127040197594831,TEAM-27AC674B,HOME,68,10,25,3,0
127040197594831,TEAM-0FF29040,AWAY,32,80,4,80,0
51663335405182,TEAM-0E077100,HOME,29,1,4,5,0
51663335405182,TEAM-550D05AB,AWAY,71,33,8,100,0
45932207628643,TEAM-1C981597,AWAY,38,43,3,50,0
261612402375946,TEAM-BDDFCDFA,HOME,54,2,18,2,0
261612402375946,TEAM-782246EA,AWAY,46,23,3,50,0
50129590343307,TEAM-720795A0,HOME,69,3,11,1,0
50129590343307,TEAM-7273A887,AWAY,31,30,3,100,0
27919808326157,TEAM-0587F59E,HOME,46,3,14,4,0
27919808326157,TEAM-B2118D2C,AWAY,54,50,6,0,0
87744010723513,TEAM-D069E7F8,HOME,40,5,9,3,0
144528646683596,TEAM-A4EC0F45,HOME,68,2,6,3,0
144528646683596,TEAM-7C631724,AWAY,32,33,4,50,0
111346431724064,TEAM-93330B41,HOME,71,5,18,0,0
111346431724064,TEAM-839B22B8,AWAY,29,0,0,80,0
130620005776571,TEAM-7C631724,HOME,49,5,16,5,0
205247645787742,TEAM-0E077100,HOME,50,4,12,1,0
205247645787742,TEAM-720795A0,AWAY,50,25,2,75,0
179986844463039,TEAM-A4EC0F45,AWAY,42,33,2,83,0
244648913498441,TEAM-1C981597,HOME,18,5,8,9,0
244648913498441,TEAM-550D05AB,AWAY,82,38,10,60,0
9215938375097,TEAM-839B22B8,HOME,55,4,16,1,0
9215938375097,TEAM-BDDFCDFA,AWAY,45,25,1,75,0
98553906407820,TEAM-782246EA,HOME,62,7,15,1,0
98553906407820,TEAM-D069E7F8,AWAY,38,21,3,71,0
50232676197012,TEAM-27AC674B,HOME,53,7,19,2,0
50232676197012,TEAM-51EA86E0,AWAY,48,40,2,28,0
261429100829799,TEAM-0FF29040,HOME,35,3,6,8,0
261429100829799,TEAM-93330B41,AWAY,65,38,10,100,0
190836110049714,TEAM-0587F59E,HOME,41,4,11,1,0
190836110049714,TEAM-A415D192,AWAY,60,17,1,75,0
22551900963445,TEAM-B2118D2C,HOME,71,3,12,4,0
22551900963445,TEAM-7273A887,AWAY,29,75,6,100,0
2683705776554,TEAM-720795A0,HOME,47,5,14,0,0
2683705776554,TEAM-7C631724,AWAY,53,29,2,80,0
101892602565564,TEAM-A4EC0F45,HOME,67,5,16,1,0
101892602565564,TEAM-1C981597,AWAY,33,9,1,60,0
146098540577909,TEAM-BDDFCDFA,HOME,57,4,7,1,0
146098540577909,TEAM-7273A887,AWAY,43,9,1,25,0
142778716575775,TEAM-0FF29040,HOME,43,1,8,6,0
142778716575775,TEAM-782246EA,AWAY,57,33,6,0,0
139908708942131,TEAM-51EA86E0,HOME,58,5,20,2,0
139908708942131,TEAM-B2118D2C,AWAY,42,31,4,100,0
217989826177558,TEAM-93330B41,HOME,58,7,17,2,0
217989826177558,TEAM-0E077100,AWAY,42,56,5,71,0
231338422714099,TEAM-720795A0,HOME,65,2,10,2,0
231338422714099,TEAM-27AC674B,AWAY,35,38,3,100,0
39199701049590,TEAM-7C631724,HOME,51,2,9,5,0
39199701049590,TEAM-0587F59E,AWAY,50,40,6,50,0
241965786970629,TEAM-D069E7F8,HOME,46,4,10,3,0
241965786970629,TEAM-839B22B8,AWAY,55,30,3,75,0
276097815612589,TEAM-A415D192,HOME,43,6,12,2,0
276097815612589,TEAM-550D05AB,AWAY,57,25,3,83,0
81333748194840,TEAM-B2118D2C,HOME,53,3,7,0,0
81333748194840,TEAM-A4EC0F45,AWAY,47,40,2,33,0
116211101997292,TEAM-7273A887,HOME,48,3,10,1,0
116211101997292,TEAM-0FF29040,AWAY,52,20,1,33,0
114635918702971,TEAM-782246EA,HOME,64,4,23,4,0
114635918702971,TEAM-93330B41,AWAY,36,38,6,75,0
119223823403712,TEAM-0587F59E,HOME,58,3,12,2,0
170064145885084,TEAM-27AC674B,AWAY,39,13,1,33,0
10121462386030,TEAM-720795A0,HOME,60,7,21,7,0
10121462386030,TEAM-51EA86E0,AWAY,40,62,8,85,0
192735037523147,TEAM-1C981597,HOME,33,2,5,7,0
192735037523147,TEAM-7C631724,AWAY,67,32,9,0,0
111735845425841,TEAM-839B22B8,HOME,36,7,9,6,0
111735845425841,TEAM-A415D192,AWAY,64,32,6,57,0
281427038041694,TEAM-550D05AB,HOME,72,10,24,1,0
281427038041694,TEAM-BDDFCDFA,AWAY,28,50,1,50,0
75103862774118,TEAM-D069E7F8,HOME,38,3,9,8,0
75103862774118,TEAM-0E077100,AWAY,63,42,10,0,0
212749074187723,TEAM-7C631724,HOME,50,6,21,4,0
212749074187723,TEAM-782246EA,AWAY,50,45,5,66,0
168234328340413,TEAM-51EA86E0,HOME,35,1,7,2,0
168234328340413,TEAM-1C981597,AWAY,65,50,7,100,0
203618710096598,TEAM-93330B41,HOME,72,5,16,1,0
203618710096598,TEAM-D069E7F8,AWAY,28,13,1,60,0
130082495996559,TEAM-B2118D2C,AWAY,52,33,3,80,0
133094675349419,TEAM-27AC674B,HOME,66,8,26,2,0
133094675349419,TEAM-839B22B8,AWAY,34,50,3,75,0
43946787856038,TEAM-BDDFCDFA,HOME,44,5,13,5,0
43946787856038,TEAM-0587F59E,AWAY,56,45,5,60,0
7395887435372,TEAM-A415D192,HOME,59,5,15,4,0
7395887435372,TEAM-720795A0,AWAY,41,56,5,80,0
30693583959196,TEAM-0E077100,HOME,42,3,8,5,0
127405226125507,TEAM-A4EC0F45,HOME,61,5,15,4,0
127405226125507,TEAM-0FF29040,AWAY,39,33,4,80,0
55410058921308,TEAM-550D05AB,HOME,71,7,16,2,0
55410058921308,TEAM-7273A887,AWAY,29,67,2,57,0
