id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
247102277803306,TEAM-51EA86E0,TEAM-A415D192,44,56,2,7,5,16,2,1,0,0
127040197594831,TEAM-27AC674B,TEAM-0FF29040,68,32,10,25,4,5,3,8,0,0
51663335405182,TEAM-0E077100,TEAM-550D05AB,29,71,1,4,8,24,5,1,0,0
45932207628643,TEAM-3E37DB98,TEAM-1C981597,62,38,4,15,3,7,2,2,0,0
261612402375946,TEAM-BDDFCDFA,TEAM-782246EA,54,46,2,18,3,13,2,1,0,0
50129590343307,TEAM-720795A0,TEAM-7273A887,69,31,3,11,3,10,1,3,0,0
27919808326157,TEAM-0587F59E,TEAM-B2118D2C,46,54,3,14,6,12,4,0,0,0
87744010723513,TEAM-D069E7F8,TEAM-F53424F0,40,60,5,9,4,15,3,3,0,0
144528646683596,TEAM-A4EC0F45,TEAM-7C631724,68,32,2,6,4,12,3,1,0,0
111346431724064,TEAM-93330B41,TEAM-839B22B8,71,29,5,18,0,2,0,4,0,0
130620005776571,TEAM-7C631724,TEAM-3E37DB98,49,51,5,16,5,11,5,5,0,0
205247645787742,TEAM-0E077100,TEAM-720795A0,50,50,4,12,2,8,1,3,0,0
179986844463039,TEAM-F53424F0,TEAM-A4EC0F45,58,42,6,13,2,6,1,5,0,0
244648913498441,TEAM-1C981597,TEAM-550D05AB,18,82,5,8,10,26,9,3,0,0
9215938375097,TEAM-839B22B8,TEAM-BDDFCDFA,55,45,4,16,1,4,1,3,0,0
98553906407820,TEAM-782246EA,TEAM-D069E7F8,62,38,7,15,3,14,1,5,0,0
50232676197012,TEAM-27AC674B,TEAM-51EA86E0,53,48,7,19,2,5,2,2,0,0
261429100829799,TEAM-0FF29040,TEAM-93330B41,35,65,3,6,10,26,8,3,0,0
190836110049714,TEAM-0587F59E,TEAM-A415D192,41,60,4,11,1,6,1,3,0,0
22551900963445,TEAM-B2118D2C,TEAM-7273A887,71,29,3,12,6,8,4,3,0,0
2683705776554,TEAM-720795A0,TEAM-7C631724,47,53,5,14,2,7,0,4,0,0
101892602565564,TEAM-A4EC0F45,TEAM-1C981597,67,33,5,16,1,11,1,3,0,0
146098540577909,TEAM-BDDFCDFA,TEAM-7273A887,57,43,4,7,1,11,1,1,0,0
165855820707949,TEAM-3E37DB98,TEAM-F53424F0,40,60,2,5,6,15,5,1,0,0
142778716575775,TEAM-0FF29040,TEAM-782246EA,43,57,1,8,6,18,6,0,0,0
139908708942131,TEAM-51EA86E0,TEAM-B2118D2C,58,42,5,20,4,13,2,5,0,0
217989826177558,TEAM-93330B41,TEAM-0E077100,58,42,7,17,5,9,2,5,0,0
231338422714099,TEAM-720795A0,TEAM-27AC674B,65,35,2,10,3,8,2,2,0,0
39199701049590,TEAM-7C631724,TEAM-0587F59E,51,50,2,9,6,15,5,1,0,0
241965786970629,TEAM-D069E7F8,TEAM-839B22B8,46,55,4,10,3,10,3,3,0,0
276097815612589,TEAM-A415D192,TEAM-550D05AB,43,57,6,12,3,12,2,5,0,0
81333748194840,TEAM-B2118D2C,TEAM-A4EC0F45,53,47,3,7,2,5,0,1,0,0
116211101997292,TEAM-7273A887,TEAM-0FF29040,48,52,3,10,1,5,1,1,0,0
114635918702971,TEAM-782246EA,TEAM-93330B41,64,36,4,23,6,16,4,3,0,0
119223823403712,TEAM-0587F59E,TEAM-3E37DB98,58,42,3,12,2,4,2,3,0,0
170064145885084,TEAM-F53424F0,TEAM-27AC674B,61,39,3,8,1,8,1,1,0,0
10121462386030,TEAM-720795A0,TEAM-51EA86E0,60,40,7,21,8,13,7,6,0,0
192735037523147,TEAM-1C981597,TEAM-7C631724,33,67,2,5,9,28,7,0,0,0
111735845425841,TEAM-839B22B8,TEAM-A415D192,36,64,7,9,6,19,6,4,0,0
281427038041694,TEAM-550D05AB,TEAM-BDDFCDFA,72,28,10,24,1,2,1,5,0,0
75103862774118,TEAM-D069E7F8,TEAM-0E077100,38,63,3,9,10,24,8,0,0,0
212749074187723,TEAM-7C631724,TEAM-782246EA,50,50,6,21,5,11,4,4,0,0
168234328340413,TEAM-51EA86E0,TEAM-1C981597,35,65,1,7,7,14,2,1,0,0
203618710096598,TEAM-93330B41,TEAM-D069E7F8,72,28,5,16,1,8,1,3,0,0
130082495996559,TEAM-3E37DB98,TEAM-B2118D2C,48,52,5,8,3,9,1,4,0,0
133094675349419,TEAM-27AC674B,TEAM-839B22B8,66,34,8,26,3,6,2,6,0,0
43946787856038,TEAM-BDDFCDFA,TEAM-0587F59E,44,56,5,13,5,11,5,3,0,0
7395887435372,TEAM-A415D192,TEAM-720795A0,59,41,5,15,5,9,4,4,0,0
30693583959196,TEAM-0E077100,TEAM-F53424F0,42,58,3,8,7,12,5,2,0,0
127405226125507,TEAM-A4EC0F45,TEAM-0FF29040,61,39,5,15,4,12,4,4,0,0
