equipo,estadio,ciudad,capacidad,team_id
Real Madrid,Santiago Bernabéu,Madrid,83186,TEAM-93330B41
Barcelona,Spotify Camp Nou,Barcelona,55926,TEAM-550D05AB
Atlético Madrid,Riyadh Air Metropolitano,Madrid,70460,TEAM-F53424F0
Athletic Club,San Mamés,Bilbao,53289,TEAM-0587F59E
Valencia,Mestalla,Valencia,49430,TEAM-BDDFCDFA
Sevilla,Ramón Sánchez-Pizjuán,Sevilla,43883,TEAM-B2118D2C
Real Sociedad,Reale Arena,San Sebastián,39313,TEAM-782246EA
Villarreal,La Cerámica,Villarreal,23500,TEAM-27AC674B
Real Betis,Benito Villamarín,Sevilla,60721,TEAM-7C631724
Osasuna,El Sadar,Pamplona,23576,TEAM-839B22B8
Celta Vigo,Abanca Balaídos,Vigo,24870,TEAM-720795A0
Rayo Vallecano,Estadio de Vallecas,Madrid,14708,TEAM-A415D192
Getafe,Coliseum,Getafe,16800,TEAM-7273A887
Girona,Montilivi,Girona,14624,TEAM-51EA86E0
Mallorca,Mallorca Son Moix,Palma de Mallorca,26020,TEAM-0E077100
Levante,Ciutat de València,València,26354,TEAM-1C981597
Espanyol,RCDE Stadium,Cornellà de Llobregat,40500,TEAM-D069E7F8
Alavés,Mendizorroza,Vitoria-Gasteiz,19840,TEAM-3E37DB98
Elche,Manuel Martínez Valero,Elche,31388,TEAM-A4EC0F45
Oviedo,Carlos Tartiere,Oviedo,30500,TEAM-0FF29040
